Area (sqft),Bedrooms,Bathrooms,Location Score,Age of House (years),Nearby Amenities Score,Price
3567,2,2,3.3904003832983545,8,6.053361291635714,525501.2810104374
1137,5,2,2.1656342915452376,13,6.045940849745539,232944.5536130356
1678,1,2,8.998732718820794,12,6.431388999368093,387998.236130481
1876,3,2,9.60086348406778,24,7.08821143503726,399798.11685672886
1591,1,1,8.759148555389055,1,8.244900997126928,331840.5474558413
3064,3,3,8.285644672523903,34,3.428386481153929,473722.3847155712
1563,4,2,6.8971778257511955,6,8.425444691620559,317707.0599045258
3035,2,1,5.957716335482254,20,5.484301140371082,466819.4993810055
1179,1,2,1.7828808392026914,17,1.6935245122089806,178148.66942795692
1292,5,2,4.676078917636288,2,1.5269583631958128,258899.72666694596
3912,4,1,4.354196653110826,41,4.008144868264547,566381.9097946917
1980,1,3,3.337784053842936,38,8.064072794003208,361116.2837346999
2862,5,3,7.510781023197264,40,7.369128412668242,464826.24147423875
864,1,1,5.4628816157089375,48,8.09753468205166,216577.54595955586
3368,3,3,1.7294159431688314,10,5.655421507974484,464987.5833998457
2167,1,1,2.981648817548302,38,4.961790981599415,357282.56326175143
1952,1,1,7.149328872936364,23,2.3270727403565554,352251.5419160959
2827,1,1,1.6851777354127018,45,3.953734782483804,379690.5473507979
3495,4,3,8.660862226438919,18,4.9061742955648775,559908.4472744333
2295,1,1,5.4563187431257685,3,1.797403867116555,389989.7511832325
3934,5,2,5.325279195939832,25,2.985507574400901,580306.5210692709
1962,3,3,6.331670061935658,37,6.384027646573649,372210.67639913445
2322,3,3,8.422128693326343,41,7.620968028152708,387491.61153467867
3440,1,3,4.1302828711197375,31,9.985127602536547,496285.66831470333
1191,4,3,7.102145373031572,38,9.39801998209202,283644.2303393645
2498,4,2,6.09158767596212,44,6.783086795816724,397885.12739412487
1218,5,3,3.403254431524792,45,4.791232479646649,233648.81802132202
3136,1,3,8.907669877196422,35,6.725596282374094,470350.1882472901
1178,3,1,8.176834194462353,39,8.070864562722088,331973.57023496425
2596,4,3,6.926066511925829,36,2.065025718310486,421693.8330655773
3078,1,2,8.655235561848176,32,4.689144007266594,530615.1968291472
3865,4,2,8.805647808638222,35,8.558220570720554,601295.8524307933
2888,4,2,7.3752667904353135,2,4.4544965673973955,485228.3833300669
3899,3,2,8.533119955273047,8,6.146850441044679,640959.8681412028
2982,2,3,7.277243155023553,7,6.289924247759784,512273.4383060429
1000,5,3,7.121266945842704,32,2.6602862782027543,235173.99928202672
2663,5,2,6.5675024039366585,5,4.260118974870595,438310.11599379865
1579,3,2,7.774449756018771,40,4.01060159867739,335601.7311618695
3777,4,3,2.427445947637663,38,1.235770376788583,568843.0031272655
3904,1,2,8.927836832790355,3,1.217725875022197,613020.6106284177
3919,4,1,8.846591749707088,12,8.485273393081961,658485.1003975266
1302,3,2,1.2632255473110323,48,3.457637289755312,209920.4231993392
3254,5,2,8.432350755082865,1,5.662708896149339,552526.7781652487
2551,4,1,2.1598288072610066,4,3.6885301622989575,404744.19856100425
1604,5,1,4.016069688332277,43,9.466113206038065,280360.65661532443
2946,1,3,7.69157430662447,26,3.3336708297919637,465554.6877248998
3531,5,3,2.4468390644347737,31,4.866911314650416,522656.54138727044
2695,5,1,8.36170321707156,20,8.854572254361416,455987.75180739665
3573,2,1,8.489207601619677,7,8.577402101126278,557401.1809143781
2370,2,3,5.567209603847526,37,2.674912760616496,373315.2751434181
1760,2,2,1.0574728454515023,7,8.223789788161394,272238.1463682489
3460,5,1,3.583343198574215,49,5.123681980641034,516371.2970492173
2285,3,3,6.55234226538168,2,5.346719848768197,408004.35589249287
3490,5,2,9.830675602246812,43,2.201319751743494,576511.9005452411
1828,3,1,6.686321743150016,2,1.7254136238141218,347058.934089183
1302,3,2,3.338232229577438,21,7.551453762763886,235162.69969498742
3614,2,3,6.706051327896502,5,5.468150371197698,572194.795953927
1197,4,1,5.8598684174427,1,4.931656323536616,283355.245191838
1670,1,2,8.018608556360292,22,7.5655740578715704,349414.5109727964
3642,2,1,1.9628257494426258,43,7.889616090919988,519065.7997633233
1192,2,2,7.849251122518252,1,2.430173509024182,259876.68135730526
1006,4,3,5.871399208084992,37,6.492026345298772,236418.37317828764
1838,1,3,9.666928034730951,16,2.2181867404991698,351211.7338690843
2681,5,1,4.076849494348175,34,7.762375774261411,417171.5014432618
3739,5,2,6.693597038205533,33,6.912596406404256,536969.5322071554
2284,2,1,9.388252949590157,22,9.609531589751121,395495.6588206864
1663,1,1,1.9225875519161133,29,1.6206221472077906,261715.85494103222
3590,2,2,9.43505638512806,7,1.5134924903612887,565292.0091502827
1363,3,2,7.19097150070732,21,3.539683672238801,289004.98438491486
1820,2,2,1.610533531946547,43,3.355351153623154,278482.99046759785
895,2,3,3.708672102521346,35,3.2228091916479986,193234.75055688855
2723,5,1,7.373548797807534,4,9.15629122468933,475922.07366224413
2557,5,1,1.6061554132189453,12,3.245915798645555,366425.0487169411
3332,5,3,6.23953414158646,28,3.447547535157679,507877.78648570384
3078,3,2,4.112947512576611,30,7.8345843617616735,495631.77612367197
3596,5,3,6.588239659907294,46,5.04765858205486,546295.5670086558
2478,1,3,1.4116783043126158,15,7.990395012596631,367138.1660695133
1340,4,3,8.843831255371386,41,1.588295418079467,295481.00966729684
1859,1,1,9.761400722596573,29,5.388140743060458,369868.93088036584
3372,1,3,9.719900697571223,15,1.3025224016495436,536861.344719122
1983,5,1,7.746866485686322,11,1.5638788310981906,345933.8863599161
2522,4,1,2.170776161175688,16,9.157937080099698,369886.04042890633
3957,4,1,7.824368763361203,15,2.2532083400583565,621191.8838791153
2619,4,2,1.2212822481292136,11,5.791786140476954,370722.3965976393
3425,3,1,1.1991119637609753,7,4.699860423406359,475762.41823599377
3529,5,1,3.912491972345871,19,4.126089936329584,529328.780330611
3404,4,2,5.397788713641992,2,9.098500111185452,520477.81388697855
2397,3,1,7.933666760270139,15,1.1964105709794055,428658.50975604355
3860,2,3,7.149658389458547,29,6.9741071755803015,558851.8838093386
3493,2,3,5.013124357390735,44,9.670549907921954,522656.7348449523
1595,3,1,3.462639996534993,22,6.041513651156578,282486.59237405495
1851,3,2,9.9741205014194,27,9.431402158297827,381361.0827136041
2443,5,3,4.835631720123756,39,1.470320913574214,353323.4246148212
2163,5,2,5.062483218967079,4,4.769139871667452,390990.794925788
2781,2,2,2.4726143907250226,19,3.3414201186584602,392804.8151858096
2154,4,3,8.153285938749365,39,7.577388684826568,400689.6849199828
2463,2,2,7.243140032033398,43,9.83167381447522,424538.1966949935
2329,4,3,2.9869265150988435,0,3.30877056199823,384796.6114701993
2838,4,2,1.7414294105425843,29,6.88757141326667,456595.42781280994
2296,5,3,7.124493718672418,20,2.7828786948376614,371591.965538124
3037,1,1,6.890600928530217,19,6.087972291144489,475819.69009656896
2208,1,3,3.459335742983884,5,5.175392380195026,360358.2958769124
2200,3,3,9.557772060253694,21,9.748047966683833,398252.72620150686
2106,5,3,2.3595210260281023,17,6.476745454268199,348733.9806007985
3480,4,3,4.891013209383417,7,4.145557348781369,538605.9205601474
3475,1,2,9.49254328150839,38,2.0268620639914,568744.7074309717
1772,4,1,4.7775458523351,31,2.361221458614411,312758.9257287966
2568,1,3,6.74673352897677,32,3.0278523695611157,451423.28940350504
2082,1,2,4.578349581665148,15,3.258699952062682,324589.0361113683
1509,1,1,3.4679368211380304,11,8.65554452057024,277968.0488990868
2279,5,1,9.855798831638454,37,6.051005094542724,409258.43858359416
2234,2,1,4.684006056835387,33,5.710518202369298,384854.1645232112
1448,4,1,9.04689283311221,13,2.0329198468229572,278281.4848112279
1117,5,3,3.0695914530197754,35,8.741257240144915,220746.12307855554
2057,5,3,2.9179423362257495,32,7.5053287288763535,338042.190196971
1483,5,2,1.2802067459606024,22,1.6090152571000143,220215.74764578053
1463,5,2,6.865001428382966,49,7.370515875067918,283331.9874520002
2798,5,2,4.316737093513851,44,5.8918439560838145,429662.7164967063
2431,3,1,8.779224248556734,1,1.7355281117210044,451237.4622419784
2295,4,1,5.258889160224014,40,5.124705773757908,357288.56569113594
1936,5,3,9.713740851232496,20,5.362266584170423,366791.8095810869
2653,4,1,2.6697296413280904,1,2.4919708614694818,421377.00812629197
2320,3,1,8.817608511600497,26,9.51128332300254,420403.5021021121
3289,3,1,7.989371675125676,8,8.649778343325957,520617.60346934607
1363,4,2,7.938296601796468,0,7.021201035961975,318388.46351624595
2091,1,2,8.60304905305199,10,5.160660049005465,383117.5406593831
3984,2,3,7.84921591848699,2,4.705889874260577,634089.4247030362
2436,1,1,6.635982894682739,22,6.858761204358587,401413.56321377103
3799,1,1,2.1812038991414884,25,5.908886824662149,528483.4779919083
3952,1,3,1.2927356154212672,3,1.5604579529369706,558067.4763913928
1498,5,1,9.287630630341182,17,5.612523838932985,323449.87463833624
2960,3,1,6.549852830686643,5,8.257632555095554,497426.04358108266
801,1,2,8.168835618785586,34,5.133158898372622,227587.1423997947
1441,3,3,5.33370116361295,21,1.4676091979884158,314252.2615611127
3067,4,3,2.0557737006615504,42,8.076503794456297,474098.0647803569
2389,2,3,2.126672129822954,14,2.8122740392237695,333113.20710839017
1654,4,3,7.170087585060743,21,3.327587513992349,331827.1307465561
2559,4,2,4.872753054095164,36,2.482357180890663,386342.9865902668
3232,5,2,2.8047225403030307,41,3.971935583843478,467865.2675546501
2461,2,1,5.424350920672932,11,7.810763551197716,410617.0671197311
1953,4,1,1.577880433676207,46,5.674472735535436,278612.77309821546
1876,4,1,6.237742617229589,48,2.843931467356413,353603.01424393704
2507,2,1,3.4209406399158793,41,8.900470703368367,394436.17132559285
3577,2,2,8.178031905734693,37,8.916236694563763,561541.0133857408
2495,4,3,3.793257630312164,17,8.835205825414063,388833.1885563708
2533,2,2,5.09698134173621,44,3.1491659024338534,403889.1016663376
2239,4,1,1.1045848591729057,34,5.061154097628893,338946.08008845814
3094,4,2,1.65202199015103,29,9.864906905267876,444638.0645322468
1635,5,3,4.532442007660164,23,7.948112286789914,242656.19709126232
1002,1,3,5.319449512454112,41,1.2445067910300383,217699.06963593583
922,4,2,6.400184933073733,29,1.5868413213444286,192732.47008055844
1200,3,2,3.624963208383729,13,5.175382391310995,231513.65435782226
1566,1,2,7.254836975138883,5,9.182981852754041,295341.5573891271
1093,1,1,8.741101574702842,2,5.848316181574428,248733.5373178007
3127,1,2,8.018658900040148,15,5.480312572308612,535539.494297835
3731,5,2,1.3565694281352143,6,1.9492632996096753,506997.7496118789
997,4,2,5.32456252532046,13,6.911020942518647,223058.9134705442
3829,5,3,1.9443716057635738,8,8.39892844540203,550032.5897023106
2730,4,3,3.178405142762747,14,4.423780067568061,406217.9110675305
3599,5,1,9.879963339404318,20,7.980506658327947,631046.5152240833
2991,5,1,2.282459886113619,34,9.680289885107305,434324.63847427676
1408,3,3,5.489993381062204,1,2.833898132149202,285573.2892485061
1947,5,3,6.563401608863072,26,5.709966680752672,372517.7927372969
986,2,3,7.322184734896935,1,3.58424162276118,279073.2742952494
3311,3,2,6.036838151382227,34,8.135689771304554,498541.7934576263
2594,5,2,1.087937626772653,17,6.198340292930418,370087.61663034925
1459,1,3,3.938151774195927,13,6.711241757952734,297680.2178847586
3611,2,2,5.6594047904624025,19,8.181227436543047,564827.1351404925
3802,2,2,1.7907984923035003,17,4.563734253962094,549337.1050173473
2755,2,1,4.155642380882627,9,9.23581061566339,407006.0488611279
3250,3,3,1.298827979122299,24,5.797259805215259,488204.1645775263
2169,5,3,1.7072064743951867,1,2.421593405518132,316016.303986533
2786,5,2,4.5723094858143645,24,7.263092063519222,440373.5925162604
2334,1,3,2.194441786387543,32,8.13935215394429,355128.9885429565
946,1,1,6.107867634354023,35,3.85085509360774,205925.30225299043
3711,2,1,7.2051847222353915,30,8.714613312988778,546363.051923417
2534,1,1,8.205280291981746,13,9.155289292891897,412508.77452649735
2643,3,3,2.8013521982032907,0,3.4921403864002802,403152.10068271286
1288,5,3,2.507343240331628,45,9.851693254436999,205364.5904803027
3776,2,3,1.9411105630096022,15,2.266403752438826,500564.39935701666
2759,1,3,6.72787224589273,45,2.81814101562241,439485.2164183965
2463,3,3,7.35828153838211,2,2.658023553142235,370313.68070833647
3398,3,1,1.2842753034307783,34,9.045907390070834,493171.2083602941
3185,1,2,9.42591021619321,40,6.8886329709246565,480784.28827618284
3719,5,1,1.4677415528632518,5,2.3689385490004558,512283.37552547775
1440,1,3,5.871667017709634,24,4.962910765315141,284721.4208569548
2602,2,1,7.381544675058247,12,6.5376822256282185,454393.204492661
3320,1,3,8.83872211371477,33,1.7511767649044496,532240.3702367066
2769,3,3,7.4267823891918505,7,8.94174731566605,509278.6041420824
2998,1,1,8.215552747628127,20,8.232431818973817,504710.512836112
2238,5,3,4.0550517328852544,33,5.5468609621897444,382363.05675701034
2434,4,2,8.33342602371861,3,9.704139537332534,425241.21336577914
1062,1,3,1.7210336174620764,24,4.759848813475897,199665.24551862397
2587,5,2,9.05334990454475,14,9.85699287132848,494300.39025301876
2991,5,2,5.928331385383626,3,7.011279989232643,473756.33134389244
3193,3,3,8.355679929662443,44,6.712041459285473,522189.55676945724
1423,5,1,5.070864560664702,11,2.493594057662065,292946.1056758896
1816,5,2,6.792199256768725,31,8.937349824741796,328593.42690096726
1680,5,1,5.737623948425019,31,4.847407191285536,267136.14360479463
2849,5,2,7.584305695797987,27,2.460100652042314,471514.6810102907
3744,2,3,1.7346698382753063,12,1.1134676797818313,535980.2832895858
2127,2,3,1.5431687559150742,30,6.037801152745443,297009.4739904295
3101,3,2,3.223929106091318,13,5.746596599104087,474073.5839051161
1252,1,3,2.435902121018695,19,7.474182601322427,245809.62285896132
3908,5,2,8.846052099329814,17,9.01232247716022,572459.0795267324
1983,1,3,2.9729258862223986,28,1.7146592617872658,296195.4751067695
3862,1,1,9.782787302372181,5,7.583468413063261,613846.5000286835
2856,3,3,4.032062125939961,31,2.68670749687824,427638.20250001224
3970,5,1,2.6390612411982937,28,8.723593478414475,545733.317334245
2482,5,3,8.107286564282312,42,8.371571624754905,417590.1670083118
3663,4,1,6.928369979507885,1,5.867143794869899,601144.0733110255
3055,1,3,5.483761448078251,22,7.392185187609804,476234.70962501905
1954,1,1,5.998271958438681,18,3.8291510186537354,332825.57290937257
1203,2,2,7.472816004450374,30,5.240511090395332,270365.5371418458
2999,4,2,3.0560926719816885,4,8.394732079394245,463314.8415001311
2901,2,1,9.967005244510677,18,5.133386774558925,503092.6601411693
3991,2,3,9.773138459321048,33,4.220184387928976,622577.1093585445
2496,2,1,6.852931177122432,9,5.447912025252699,411590.8464356943
1427,3,3,2.7958820583623063,24,8.454243271934965,244197.56858217352
1386,3,2,7.122054181881622,1,4.016872426337855,281699.6827286158
2448,2,3,1.6497856808125826,10,2.5638543382216943,369189.9303316731
2243,4,2,1.2758725198522547,49,7.408126182977027,313687.31262495235
2245,1,3,3.3191459966009234,30,8.433803914372735,367367.5503069728
903,4,3,5.163606610653847,14,1.9057373067118,238724.5671791428
1053,5,3,8.814452548675424,8,3.1588670148035023,274616.9731652235
3983,3,1,7.544521627896772,22,2.277747907848945,595250.1275623983
3357,1,1,7.684358690799829,18,4.131472704239499,506438.25826326496
2296,1,2,4.829440010032679,8,5.053158810148714,411546.2744737802
898,5,2,4.113414932922666,34,7.739437032669758,180692.95186625308
3000,5,1,4.339348866861425,20,6.860328263935067,476975.2217540318
2684,2,2,9.88884607362452,8,6.588357107305881,492261.35360909376
3761,3,1,1.3609827227123423,27,4.171374519486889,511271.5169470725
2719,3,3,8.803283465102037,45,8.57302797776284,463272.80054205103
1677,4,2,6.208078677151541,6,5.241584506583481,283608.9380505702
1137,2,2,4.947538772706315,15,9.81194444213639,254474.60440652017
3669,2,1,7.527318943736229,15,6.707279244661631,585182.6349522708
1756,2,2,5.380020472822325,32,2.1363826740805245,289783.17641638796
2504,2,2,8.860809142734945,3,7.085598058678906,446240.0590287858
960,3,3,9.106316776101327,3,3.925936138885291,262669.3102695202
2403,3,2,4.795488341861098,38,7.1769447701748765,401461.75313286466
3648,2,3,3.4914501751154643,39,1.6267703334616517,517700.7187738109
1197,4,1,6.33115295734026,16,2.5739329345836346,225356.04189604637
2100,1,2,9.211270110550219,36,8.701635330152076,389556.39871148055
1615,1,3,2.895959701050999,38,3.044616013211634,274479.0367381078
2327,4,1,6.606699252071345,28,8.53337012718646,419607.6145522883
2719,2,2,6.684041980832685,35,3.5134847960896938,429277.9148145765
2215,3,1,7.5980172017375285,37,6.785937190528369,438532.07529416826
1958,1,2,2.1841091661453382,38,7.247355161588479,272372.6630270968
2018,5,1,7.442424682138797,49,5.613892778305477,354251.08248768817
1200,5,1,9.181292685990769,36,3.7477960902705814,282893.9489254581
1439,4,3,2.6171479798321777,34,2.913799387339865,242817.1956082743
3904,2,1,3.1378899243148988,6,1.298704191061836,526134.1089334451
3535,1,2,9.742555846374756,26,3.7355176111665145,581176.0698355333
1259,2,2,2.628792574385408,27,6.878465114781547,239947.50444230487
1754,1,3,8.689465840326212,21,9.444743366036343,358561.0023719476
1269,4,2,5.430500708032313,13,8.840840340367468,274223.1448560447
1845,4,2,3.2250796696285935,6,7.8945829888177235,306157.1429505519
3597,5,2,8.836749111452603,36,8.096026089279688,542994.2712462742
2493,2,1,5.007747295023989,21,6.984864131283957,391351.97174612095
2885,5,1,5.633356185367211,4,3.342581718094027,460208.52605900203
3077,2,2,4.233100324597891,1,9.16475527635247,478613.02445743553
1362,5,3,6.3365576629143465,26,7.036590807152506,283448.04389158916
3285,3,1,2.4717148532652047,20,6.04396567882396,485177.2624105886
2599,3,3,4.519733829865846,37,1.9989052229213295,391412.7752240401
2874,3,2,9.724710901017588,14,5.023499894257829,497685.97999377333
1025,3,2,3.3232008943101476,20,5.143224440817336,221678.7011724259
1597,1,1,6.910629980871629,9,8.78107248570403,320540.1121672252
3131,3,2,3.926710578022254,22,5.919833981690096,444890.3781846358
3726,4,1,7.961258131179406,38,4.423604940733687,556808.2213297838
1759,4,2,2.177862946465148,4,9.791202956595933,313702.48038513266
2304,1,2,9.728389405706903,0,1.9964853399368412,454798.06532582577
1252,3,1,5.084105872452753,12,4.802935854807501,279611.1246632198
3867,3,1,3.1244541701181756,20,1.3782220765426476,548214.9938108365
1615,3,1,1.6614707259701138,25,7.659137086902373,243060.76084972083
1458,5,2,2.5278211457878665,49,9.262688969792356,254595.21377710984
1346,2,2,5.677965537004159,44,3.5203359659544047,296265.2619579816
2015,5,3,4.033028587881576,20,8.725075091192089,354047.66612473334
3920,2,1,8.459950292943486,17,3.62996407415708,603064.8985869931
816,3,2,4.877987712956253,36,9.196931454795237,216157.77896857975
2043,3,2,3.238428453288669,44,7.785657132371055,305324.8660991312
3005,5,1,6.554304879436271,31,8.244160991572947,468715.86272475804
3324,5,3,7.360994951969012,35,1.1620590004040905,496009.21019984974
1869,2,1,2.5033771711085486,16,9.665293213666233,320173.14789855346
3365,4,3,2.508572946594859,34,7.540038928632909,498087.85785329976
2946,2,2,1.3300428424018866,48,3.7427598584751998,409998.0476677643
2568,5,3,7.627618135590764,10,8.464551983729622,428134.41579671076
1860,5,2,6.974240748596245,20,3.5336907857343696,344237.9617938714
3127,1,1,5.2716778817483245,25,8.85478455609515,476627.35783814976
3344,5,1,8.597534040722774,3,2.013223513707433,524071.761583914
1101,1,1,8.251031376550479,33,7.333173797147162,275929.94816741045
980,4,3,6.26818927957077,47,5.866286289804193,214931.4777800405
1406,2,2,8.814441524619328,17,1.8688102317589674,275180.6359345499
3970,2,1,2.8525708903309144,39,3.177044454329551,525178.9861775398
1499,1,1,2.007276574579551,34,1.111636326495833,212875.01089922024
1792,2,2,3.4277465036529065,40,5.218911689180553,304336.070901824
1939,5,1,1.5137817048038338,28,3.711387346840003,301113.00683182164
990,3,2,5.780525752009288,28,6.38521735867983,232883.48544827587
3100,1,2,9.429451230654653,37,3.675140269377555,526351.8557602117
1780,2,2,1.3540918660165868,41,3.699272003562862,298569.0037878525
3775,1,2,2.098989226090241,20,7.6887387885844305,519867.6698272767
2806,1,2,5.069791254550918,41,1.4332855238051811,439687.3903759853
1984,3,3,9.404875157751144,12,9.126054956727884,362185.52386448573
927,5,1,3.8454049447907543,48,8.670374869520632,230993.80667745552
2865,1,3,5.565113278195532,40,7.0102421490376585,427329.8712411486
2616,2,1,1.3741557314535289,16,6.338994130966459,369938.42613017623
2558,4,3,2.3350888086587998,8,9.03072248325687,380712.78153681144
3413,1,2,9.879671106629623,40,2.66797161575843,524023.2485554896
1369,1,1,9.68606826792441,0,1.7107224597174575,314478.2779169915
2146,3,1,1.0444598284096864,1,3.155591529185843,326996.0629419053
2695,5,3,9.566306068809151,47,8.151204508301714,468561.5940309131
3533,4,3,6.752079440339504,28,1.31203240053835,507453.8903635811
1425,2,1,8.811264650680199,32,6.245261515751407,351918.26347746333
3701,4,3,5.092658700704732,9,9.95893764572179,569579.609405663
2486,2,3,5.640364257213252,49,8.701264844537855,460969.98071193846
3809,5,3,5.399619222312282,39,5.693011201392305,546173.5242274854
954,2,2,7.001778317914939,20,1.572768183579781,252254.5800180586
3337,3,2,2.256861292806816,27,8.482361629471388,496207.63312015845
2209,3,3,1.2697623088541015,10,6.390806573594895,329912.3308869861
1584,3,3,3.7713694743207182,33,2.0343969735361016,302826.30822469585
3975,3,2,7.342126864629821,7,1.844715563410206,593970.1418391379
1045,4,2,2.816681069106535,21,9.186641374929332,206268.9443649672
3910,5,1,7.060891899924256,7,7.022802366442706,529834.5247101389
2300,2,1,9.729208414965434,48,8.4635811938508,434738.01701528335
2505,2,2,1.8451064421047656,14,8.910810102540406,353347.0813412101
